resultado_prediccion/predict_sin_norma/sin_norma
0,11229223/0,767/0,86
0,0510163/0,583/0,58
-0,0042073727/0,417/0,57
0,08872226/0,696/0,78
0,14528555/0,866/1,01
0,30110806/1,333/1,46
0,116832554/0,781/0,83
0,10210171/0,736/0,75
0,14559832/0,867/0,91
0,029132962/0,517/0,5
0,04635963/0,569/0,62
0,041584074/0,555/0,5
0,15482876/0,895/0,9
0,13532123/0,836/0,86
0,16246817/0,917/0,83
0,089007705/0,697/0,71
0,23823711/1,145/1,17
0,13495877/0,835/0,87
0,092905134/0,709/0,66
0,12055907/0,792/0,74
0,02780974/0,513/0,52
0,1051186/0,745/0,64
0,07038531/0,641/0,55
0,034324914/0,533/0,56
0,05605653/0,598/0,64
0,053994298/0,592/0,6
0,025512367/0,507/0,54
0,089583844/0,699/0,7
0,14854267/0,876/0,88
0,12011093/0,79/0,78
0,17322418/0,95/0,83
0,2110953/1,063/1,07
0,05420786/0,593/0,58
0,042499244/0,558/0,55
0,098247975/0,725/0,74
