"%O2"/"%NO"/"%CO"/"BTZ (°C)"/"FCC (T/h)"/"AH (T/h)"/"AMP"/"CIM (t)"/"CG (T/h)"/"RPM"/"BET (°C)"/"% CO2"/"% C3S"/"% C3A"/"% C2S"/"% C4AF"/"% CaO(l)"/"Prediccion Cal"/"Calificacion real"/"Calificacion predicha"/"fecha_hora"
4.1454/1055.8/0.0651/1488.49/6.4632/154.979995727539/223.915/0.03237334/0.01730458/2.87120008468628/576.2/13.80255/59.7/8.3/18.6/8.1/1.92/1.906/Regular/Regular/2010-10-08 04:41:00.000
4.3176/1080.0/0.0658/1496.12/5.9544/138.798004150391/200.9725/0.01644/0.01006542/2.7739999294281/548.4/13.27535/61.6/8.2/17.5/8.0/1.59/1.551/Regular/Regular/2010-10-08 08:32:00.000
3.2613/594.4/0.1536/1408.55/6.1332/138.024002075195/224.1525/0.01456/0.0155283343046904/2.56800007820129/556.2/12.8069/58.7/8.1/19.3/8.0/2.21/2.153/Baja/Baja/2010-10-08 12:35:00.000
3.9522/1838.6/0.0173000004142523/1599.02001953125/6.7536/119.916/200.0225/0.0/0.0/2.2656/575.400024414063/0.0/59.9/8.2/18.9/8.3/1.75/1.662/Regular/Regular/2010-10-08 20:09:00.000
3.8451/1156.2/0.0496/1585.72/7.60799980163574/149.490005493164/188.8125/0.0/0.0/2.78719997406006/564.0/14.10239/66.1/8.2/14.2/7.9/0.76/0.721/Alta/Alta/2010-10-09 00:31:00.000
4.4016/1192.0/0.0229000002145767/1471.9/7.57320022583008/146.322/206.435/0.0/0.0/2.7712/576.0/13.57595/64.6/8.4/14.5/8.1/1.09/1.013/Regular/Regular/2010-10-09 04:03:00.000
4.368/670.0/0.0221/1272.75/7.6932/149.490005493164/224.01/0.0/0.0/2.71919989585876/567.099975585938/13.46532/62.7/8.4/16.0/8.1/1.5/1.532/Regular/Regular/2010-10-09 08:50:00.000
4.2021/1124.4/0.0986/1594.47/7.794/150.426/231.6575/0.0/0.01057117/2.72560000419617/572.700012207031/13.38827/65.3/8.1/14.8/7.9/1.06/1.052/Regular/Regular/2010-10-09 12:27:00.000
3.4839/1403.2/0.1053/1595.45/7.4856/156.636/216.885/0.0/0.0170864164829254/2.77119994163513/576.0/13.93378/64.3/8.3/15.5/8.0/1.0/0.941/Alta/Alta/2010-10-09 16:13:00.000
3.9774/1451.2/0.0755/1570.18/7.7424/153.378/223.63/0.0/0.01041833/2.77119994163513/580.6/13.53857/65.6/8.4/14.2/8.1/0.69/0.699/Alta/Alta/2010-10-09 20:00:00.000
3.9711/1464.4/0.0321/1580.05/7.0632/150.695999145508/238.6875/0.03344001/0.0/2.81480002403259/582.799987792969/13.33333/63.9/8.4/15.3/8.6/0.74/0.728/Alta/Alta/2010-10-10 01:18:00.000
